exchange_id,name,unit,value,type,date
1,Bitcoin,BTC,1.0,crypto,2022-12-06 20:33:20.708169
2,Ether,ETH,13.585,crypto,2022-12-06 20:33:21.561199
3,Litecoin,LTC,217.204,crypto,2022-12-06 20:33:22.236133
4,Bitcoin Cash,BCH,153.448,crypto,2022-12-06 20:33:23.026991
5,Binance Coin,BNB,58.848,crypto,2022-12-06 20:33:24.210938
6,EOS,EOS,17900.335,crypto,2022-12-06 20:33:24.693663
7,XRP,XRP,43571.184,crypto,2022-12-06 20:33:25.513030
8,Lumens,XLM,197916.04,crypto,2022-12-06 20:33:26.640043
9,Chainlink,LINK,2405.268,crypto,2022-12-06 20:33:27.151955
10,Polkadot,DOT,3108.993,crypto,2022-12-06 20:33:28.133451
11,Yearn.finance,YFI,2.392,crypto,2022-12-06 20:33:28.597606
12,US Dollar,$,16973.582,fiat,2022-12-06 20:33:29.137356
13,United Arab Emirates Dirham,DH,62343.121,fiat,2022-12-06 20:33:29.649163
14,Argentine Peso,$,2876662.941,fiat,2022-12-06 20:33:30.132502
15,Australian Dollar,A$,25379.868,fiat,2022-12-06 20:33:30.457901
16,Bangladeshi Taka,৳,1752689.508,fiat,2022-12-06 20:33:30.843675
17,Bahraini Dinar,BD,6399.006,fiat,2022-12-06 20:33:31.390176
18,Bermudian Dollar,$,16973.582,fiat,2022-12-06 20:33:31.964544
19,Brazil Real,R$,89410.52,fiat,2022-12-06 20:33:32.578684
20,Canadian Dollar,CA$,23178.327,fiat,2022-12-06 20:33:32.931682
21,Swiss Franc,Fr.,15986.908,fiat,2022-12-06 20:33:33.502161
22,Chilean Peso,CLP$,14914687.32,fiat,2022-12-06 20:33:34.217577
23,Chinese Yuan,¥,118747.186,fiat,2022-12-06 20:33:34.623441
24,Czech Koruna,Kč,394169.029,fiat,2022-12-06 20:33:35.256174
25,Danish Krone,kr.,120594.964,fiat,2022-12-06 20:33:35.752938
26,Euro,€,16214.931,fiat,2022-12-06 20:33:36.114029
27,British Pound Sterling,£,13983.618,fiat,2022-12-06 20:33:36.676408
28,Hong Kong Dollar,HK$,131933.708,fiat,2022-12-06 20:33:37.183485
29,Hungarian Forint,Ft,6678722.858,fiat,2022-12-06 20:33:37.934383
30,Indonesian Rupiah,Rp,265209262.897,fiat,2022-12-06 20:33:38.624660
31,Israeli New Shekel,₪,58078.508,fiat,2022-12-06 20:33:39.448183
32,Indian Rupee,₹,1399259.742,fiat,2022-12-06 20:33:40.390247
33,Japanese Yen,¥,2324145.706,fiat,2022-12-06 20:33:40.769493
34,South Korean Won,₩,22434010.884,fiat,2022-12-06 20:33:41.383676
35,Kuwaiti Dinar,KD,5211.959,fiat,2022-12-06 20:33:42.101004
36,Sri Lankan Rupee,Rs,6238388.976,fiat,2022-12-06 20:33:42.515317
37,Burmese Kyat,K,35647821.066,fiat,2022-12-06 20:33:43.228839
38,Mexican Peso,MX$,335742.85,fiat,2022-12-06 20:33:44.464799
39,Malaysian Ringgit,RM,74598.896,fiat,2022-12-06 20:33:45.276931
40,Nigerian Naira,₦,7550019.422,fiat,2022-12-06 20:33:46.477580
41,Norwegian Krone,kr,170131.975,fiat,2022-12-06 20:33:47.151214
42,New Zealand Dollar,NZ$,26862.324,fiat,2022-12-06 20:33:48.493867
43,Philippine Peso,₱,947957.599,fiat,2022-12-06 20:33:49.578454
44,Pakistani Rupee,₨,3803779.934,fiat,2022-12-06 20:33:50.106703
45,Polish Zloty,zł,76059.83,fiat,2022-12-06 20:33:50.617717
46,Russian Ruble,₽,1076125.174,fiat,2022-12-06 20:33:51.414708
47,Saudi Riyal,SR,63811.692,fiat,2022-12-06 20:33:51.828281
